"all_restaurant","all_number","all_stars"
"Ohio Kabob Grill",127,4.62992125984252
"Pita Pit- Fairview Park",42,3.47619047619048
"Derald's",17,4.52941176470588
"Bombay Gyro's and Lunch Box",25,4.04
"On Tap",39,2.33333333333333
"Jordandal Cookhouse",114,4.28070175438596
"Old Fashion Hot Dogs",82,4.39024390243902
"Yovi's",84,4.65476190476191
"Toast",25,3.8
"MOOYAH Burgers Fries & Shakes",49,2.89795918367347
"Famous Gyro George",15,2.6
"Which Wich",26,3.15384615384615
"Taco Bell Cantina",73,2.75342465753425
"Asia Tea House",59,2.93220338983051
"Sports Fanatics",12,3.83333333333333
"Au Bon Pain",6,3.16666666666667
"Sonic",4,2.25
"Wienerschnitzel",22,3.59090909090909
"GrandSlam Pizza",4,2.75
"Steak Escape East Towne Mall",4,2.25
"Chicken Shack",3,3.66666666666667
"Bellisario's Restaurant",9,3.33333333333333
"Windy City Express",4,3.25
"Nikkis Good 2 Go Restaurant",3,4.66666666666667
"B-K Rootbeer Drive-In",17,3.76470588235294
"Asian Fusion Bowl",22,3.72727272727273
"Louie's Bar & Grille",85,4
"First Watch",102,3.90196078431373
"Perkins Restaurant & Bakery",22,3.54545454545455
"la Cappella",45,2.77777777777778
"Hibachi Express",4,4.5
"El Taco Macho",127,4.37007874015748
"Igloo Frozen Yogurt And Treats",11,4.18181818181818
"V's Gourmet",56,4.17857142857143
"Wings Over Madison",125,3.528
"Harvey's",6,3
"Zone 28",67,2.95522388059702
"Mr Chicken",4,3.25
"Lotsa Stone Fired Pizza",47,3.53191489361702
"Arthur Treacher's",20,4
"Swirlie Whirlie",4,4.75
"BnD'z Burgerz & Dogz",28,3.32142857142857
"Pizza Bianca",7,3
"No 1 Express",24,3.04166666666667
"Myles Teddywedgers",35,3.94285714285714
"Madison Cuisine",10,3
"Sammy's Famous Corned Beef",6,2.83333333333333
"Naty's Fast Food",18,4.38888888888889
"Preeti's PiTT",10,3.8
"Blaze Pizza",38,3.73684210526316
"Garbanzo Mediterranean Fresh",4,3
