"all_restaurant","safety","taste","clean","service","speed","price"
"White Castle",0.330578512396694,0.354961832061069,0.15962441314554,0.196296296296296,0.762962962962963,0.594594594594595
"Sarku Japan",0.644628099173554,0.309160305343511,NA,0.1,0.759259259259259,0.121621621621622
"Wingstop",0.880165289256198,0.458015267175573,0.690140845070423,0.322222222222222,0.0148148148148148,NA
"Dunkin'",0.0289256198347107,0.278625954198473,0.708920187793427,0.151851851851852,0.192592592592593,0.855855855855856
"Starbucks",0.103305785123967,0.209923664122137,0.333333333333333,0.485185185185185,0.266666666666667,0.630630630630631
"Jin's Chicken and Fish",0.140495867768595,0.769083969465649,0.0774647887323944,0.0407407407407407,0.0481481481481481,NA
"Tasty Platters and Fried Chicken",0.0413223140495868,NA,NA,NA,0.351851851851852,NA
"Pots n Tots",NA,NA,NA,NA,0.292592592592593,0.997747747747748
"Aces Grille - Middleburg Heights",0.392561983471074,0.083969465648855,0.591549295774648,0.851851851851852,0.0407407407407407,0.108108108108108
"Smoky Jon's No 1 BBQ",0.334710743801653,0.782442748091603,0.464788732394366,0.511111111111111,0.640740740740741,0.513513513513513
"Tea House Noodles",0.735537190082645,0.629770992366412,0.460093896713615,0.755555555555556,0.881481481481482,0.495495495495495
"Hot Head Burritos",0.541322314049587,0.248091603053435,0.802816901408451,0.533333333333333,0.833333333333333,0.324324324324324
"Freddy's Frozen Custard & Steakburgers",0.433884297520661,0.351145038167939,0.122065727699531,0.188888888888889,0.166666666666667,0.148648648648649
"Skyway Drive-In Restaurant",0.574380165289256,0.591603053435115,0.455399061032864,0.237037037037037,0.325925925925926,0.801801801801802
"Rascal House",0.421487603305785,0.583969465648855,0.568075117370892,0.366666666666667,0.288888888888889,0.238738738738739
"Chicken Grille",0.37603305785124,0.423664122137405,NA,0.57037037037037,0.818518518518519,0.635135135135135
"Patron Mexican Grill",0.272727272727273,0.553435114503817,0.525821596244131,0.774074074074074,0.551851851851852,0.436936936936937
"Best Gyros",0.446280991735537,0.587786259541985,0.713615023474178,0.562962962962963,0.462962962962963,0.536036036036036
"Harold's Chicken",0.797520661157025,0.618320610687023,NA,0.548148148148148,0.0888888888888889,0.459459459459459
"Hardee's",0.487603305785124,0.526717557251908,0.192488262910798,0.551851851851852,0.214814814814815,0.477477477477477
"Guthrie's Chicken Fingers",0.648760330578512,0.706106870229008,0.44131455399061,0.255555555555556,0.366666666666667,0.882882882882883
"DiPietro's",0.590909090909091,0.396946564885496,0.31924882629108,0.333333333333333,0.718518518518519,0.171171171171171
